Title,Author,Link
Perahan Yusufi - 01,Rumi,https://archive.org/details/perahanyusufi-v1
Mirza Dabeer - Aihad aur Sheri Kaynat,Idris Ahmad,https://archive.org/details/mirzadabeer
Saheefa - Ghalib Number - 03,Waheed Qureshi,https://archive.org/details/saheefaghalib-v3
Vidaa-e-Jang - 02,Ashfaq Ahmed,https://archive.org/details/vidaaijang-v2
Khandan-e-Lohaar Key Shoara,Hameeda Sultana Ahmad,https://archive.org/details/khandanilohaarkeshoara
Hindustani Qisson Say Makhooz Urdu Masnaviyan,Gopi Chand Narang,https://archive.org/details/hindustaniqissonsaymakhoozurdumasnaviyan
Hindustani Grammer,Benjamin Schulze,https://archive.org/details/hindustanigrammer
Zakir Hussain,Majida Asad,https://archive.org/details/zakirhussain_202008
Gul-e-Rana,Mirza Asadullah Khan Ghalib,https://archive.org/details/gul-e-rana
Gulistan-e-Mussarat,Unknown Author,https://archive.org/details/gulistanimussarat
Haji Laq Laq Ke Afsaane,Haji Laq Laq,https://archive.org/details/hajilaqlaqkeafsaane
Rasheed Hasan Khan ki Ghalib Shanasi,Ibraheem Afsar,https://archive.org/details/rasheedhasankhankighalibshanasi
Quomi Zuban - 1967 - 08,Jamiluddin Aali,https://archive.org/details/quomizuban1967-08
Quomi Zuban - 1968 - 02,Unknown Author,https://archive.org/details/quomizuban1968-02
Soviet Logon ki Daastanen,Unknown Author,https://archive.org/details/sovietlogonkidastanen
Shammus Kabir,Kabir Ahmad Jaisi,https://archive.org/details/shammuskabir
Zia Mohyeddin,Zain,https://archive.org/details/ziamohyeddin
Urdu Lisaaniyat,Naseer Ahmed Khan,https://archive.org/details/urdulisaaniyat
Urdu Aur Hindi Ke Jadeed Mushtarik Aozaan,Sami Ullah Sharfi,https://archive.org/details/uraurhindikemushtarik
Asadulla Khan Ghalib Murd,Kalidas Gupta Riza,https://archive.org/details/asadullahkhanghalib
Maqalat-e-Sherani - 04,Hafiz Mahmood Sherani,https://archive.org/details/maqalatisherani-v4
Atraaf-e-Ghalib,Syed Abdullah,https://archive.org/details/atraafighalib
Insha-e-Ghalib,Rasheed Hasan Khan,https://archive.org/details/inshaighalib
Pura Manto,Saadat Hasan Manto,https://archive.org/details/puramanto-v1
Shammus-ul-Lughaat,Ibrahim bin Noor Muhammad,https://archive.org/details/shammusullughaat
Thornton Wilder,Kamal Ahmed Rizvi,https://archive.org/details/thorntonwilder
Nigar - Jashan-e-Talaai,Farman Fatehpuri,https://archive.org/details/nigar-jashanitalaai
Waziron Ka Club,Krishan Chandar,https://archive.org/details/wazironkaclub
Muntakhib-ul-Lughaat,Unknown Author,https://archive.org/details/muntakhib-ul-lughaat
Nadirat-e-Ghalib Library,Moinuddin Aqeel,https://archive.org/details/nadiratighaliblibrary
Suraj - Do Sad Saala Jashan - 01,Tasleem Ahmad Tasawur,https://archive.org/details/suraj-2sadsalajashan-v1
Urdu Adab Mein Waqt ka Tasawwur,Sadiq-ur-Rahman Kidwai,https://archive.org/details/urduadabmeinwaqtkatasawwur
Lenin - Puraman Baqaye Bahum,Unknown Author,https://archive.org/details/leninpuramanbaqayebahum
Shehrood,Akhtar Shirani,https://archive.org/details/shehrood
Rozmara Adaab,Unknown Author,https://archive.org/details/rozmaraadaab
Jalaluddin Rumi,Akhtarul Wasey,https://archive.org/details/jalaluddinrumi
Farhang-e-Amira,Muhammad Abdullah Khan Khweshgi,https://archive.org/details/farhangiamira
Farhang-e-Bostan-e-Khayal,Akbar Hussain Qureshi,https://archive.org/details/farhangibostanekhayal
Farhang-e-Jahangiri - 01,Jamaluddin Hussain,https://archive.org/details/farhangijahangiri-v1
Fahrist-e-Makhtootat-e-Shirani - 02,Muhammad Bashir Hussain,https://archive.org/details/fahristimakhtootatishirani-v2
Farhang-e-Talaffuz,Shanul Haq Haqqi,https://archive.org/details/farhangitalaffuz
Farhang-i-Zufan-i-Guya - 02,Badr-e-Ibrahim,https://archive.org/details/farhangzafanigoya-v2
Dastaanen Aur Hewanaat,Saeed Ahmad,https://archive.org/details/dastaanenaurhewanaat
Naqaliyat,Mir Bahadur Ali Hussaini,https://archive.org/details/naqaliyaat
Delhi Ka Ek Yaadgar Mushaira,Mirza Farhatullah Baig,https://archive.org/details/delhikaekyaadgarmushaira
